issue,author,state,assignees
1,pescap,closed,fbahamondesc1992
1,pescap,closed,caspoerer
1,pescap,closed,DenisOsses
1,pescap,closed,iggypoprl
2,pescap,closed,pescap
2,pescap,closed,caspoerer
4,pescap,closed,No one assigned
5,GeorgeAdrock,closed,GeorgeAdrock
7,pescap,closed,No one assigned
15,DenisOsses,closed,JoseAlexanderCL
15,DenisOsses,closed,DenisOsses
15,DenisOsses,closed,iggypoprl
17,CarlosZuritaEstolaza,closed,CarlosZuritaEstolaza
20,CarlosZuritaEstolaza,closed,CarlosZuritaEstolaza
21,gavalenz,closed,gavalenz
24,kevimulloa,closed,kevimulloa
25,josemoragonzalez,closed,pescap
25,josemoragonzalez,closed,josemoragonzalez
27,pescap,closed,gavalenz
28,JoseAlexanderCL,closed,JoseAlexanderCL
29,iggypoprl,closed,josemoragonzalez
29,iggypoprl,closed,iggypoprl
34,cechiang,closed,cechiang
34,cechiang,closed,iggypoprl
43,DavidValenzuelaP,closed,omaldonados
43,DavidValenzuelaP,closed,DavidValenzuelaP
43,DavidValenzuelaP,closed,DenisOsses
45,jwilenmann,closed,josemoragonzalez
45,jwilenmann,closed,jwilenmann
46,pescap,closed,CarlosZuritaEstolaza
47,pescap,closed,No one assigned
48,omaldonados,closed,omaldonados
48,omaldonados,closed,ronaldchester
50,Carloslugook,closed,josemoragonzalez
50,Carloslugook,closed,omaldonados
50,Carloslugook,closed,gavalenz
50,Carloslugook,closed,Carloslugook
54,ronaldchester,closed,CarlosZuritaEstolaza
54,ronaldchester,closed,ronaldchester
54,ronaldchester,closed,gavalenz
60,MiguelAbarzua,closed,danyrubiano
60,MiguelAbarzua,closed,MiguelAbarzua
61,GeorgeAdrock,closed,GeorgeAdrock
61,GeorgeAdrock,closed,omaldonados
61,GeorgeAdrock,closed,MiguelAbarzua
62,jwilenmann,closed,No one assigned
64,gavalenz,closed,gavalenz
65,jwilenmann,closed,jwilenmann
65,jwilenmann,closed,CarlosZuritaEstolaza
67,enriques76,closed,enriques76
68,GeorgeAdrock,closed,GeorgeAdrock
69,yerkocp28,closed,yerkocp28
70,MauroBustos,closed,MauroBustos
72,rvillagra83,closed,rbrunaduran
72,rvillagra83,closed,rvillagra83
72,rvillagra83,closed,DenisOsses
72,rvillagra83,closed,MiguelAbarzua
73,pescap,closed,yerkocp28
73,pescap,closed,JoseAlexanderCL
73,pescap,closed,CarlosZuritaEstolaza
74,pescap,closed,No one assigned
75,pescap,closed,No one assigned
76,pescap,closed,cechiang
76,pescap,closed,iggypoprl
76,pescap,closed,Carloslugook
77,pescap,closed,No one assigned
78,MiguelAbarzua,closed,MiguelAbarzua
79,omaldonados,closed,omaldonados
81,dnavia,closed,dnavia
81,dnavia,closed,caspoerer
81,dnavia,closed,rbrunaduran
82,pescap,closed,No one assigned
83,pescap,closed,CarlosZuritaEstolaza
85,pescap,closed,No one assigned
86,ronaldchester,closed,LitzyCastro
86,ronaldchester,closed,ronaldchester
88,jwilenmann,closed,danyrubiano
88,jwilenmann,closed,jwilenmann
91,figueraf,closed,Franciscoletelier
91,figueraf,closed,fsutterc
91,figueraf,closed,figueraf
92,Anosmiko,closed,Anosmiko
92,Anosmiko,closed,ronaldchester
92,Anosmiko,closed,iggypoprl
92,Anosmiko,closed,FASTORG
93,rbrunaduran,closed,josemoragonzalez
93,rbrunaduran,closed,rbrunaduran
93,rbrunaduran,closed,MiguelAbarzua
94,JoseAlexanderCL,closed,JoseAlexanderCL
96,caspoerer,closed,dnavia
96,caspoerer,closed,caspoerer
98,dnavia,closed,josemoragonzalez
98,dnavia,closed,dnavia
100,Davives,closed,FASTORG
101,Davives,closed,No one assigned
102,Davives,closed,No one assigned
103,Davives,closed,No one assigned
104,Davives,closed,yerkocp28
106,jwilenmann,closed,josemoragonzalez
106,jwilenmann,closed,jwilenmann
108,Carloslugook,closed,Carloslugook
110,DavidValenzuelaP,closed,Fofiguer
110,DavidValenzuelaP,closed,DavidValenzuelaP
110,DavidValenzuelaP,closed,fguaico
115,Anosmiko,closed,Anosmiko
115,Anosmiko,closed,rbrunaduran
117,fguaico,closed,No one assigned
118,fguaico,closed,fguaico
120,gaozh93,closed,Franciscoletelier
120,gaozh93,closed,gavalenz
120,gaozh93,closed,fsutterc
121,fsutterc,closed,fsutterc
121,fsutterc,closed,figueraf
121,fsutterc,closed,gaozh93
121,fsutterc,closed,MiguelAbarzua
125,figueraf,closed,danyrubiano
125,figueraf,closed,figueraf
125,figueraf,closed,fguaico
126,figueraf,closed,figueraf
130,Fofiguer,closed,Fofiguer
133,rvillagra83,closed,rvillagra83
134,CarlosZuritaEstolaza,closed,CarlosZuritaEstolaza
135,caspoerer,closed,dnavia
135,caspoerer,closed,MauroBustos
135,caspoerer,closed,caspoerer
135,caspoerer,closed,mdepixuai
235,caspoerer,open,danyrubiano
235,caspoerer,open,caspoerer
236,Fofiguer,open,chogol
237,LitzyCastro,closed,LitzyCastro
237,LitzyCastro,closed,chogol
241,yerkocp28,open,yerkocp28
242,Davives,closed,kevimulloa
242,Davives,closed,cechiang
242,Davives,closed,LitzyCastro
242,Davives,closed,chogol
242,Davives,closed,FASTORG
243,LitzyCastro,open,LitzyCastro
245,Franciscoletelier,closed,Franciscoletelier
245,Franciscoletelier,closed,chogol
247,rbrunaduran,closed,LitzyCastro
247,rbrunaduran,closed,rbrunaduran
248,LitzyCastro,open,LitzyCastro
249,cechiang,open,cechiang
251,FASTORG,closed,No one assigned
254,enriques76,closed,MauroBustos
254,enriques76,closed,enriques76
255,MauroBustos,closed,yerkocp28
257,yerkocp28,open,yerkocp28
259,mdepixuai,open,No one assigned
261,figueraf,open,figueraf
262,figueraf,open,No one assigned
263,gavalenz,closed,LitzyCastro
263,gavalenz,closed,gavalenz
265,FASTORG,closed,FASTORG
269,figueraf,open,figueraf
273,Anosmiko,closed,Anosmiko
282,molivadatascience,open,No one assigned
286,molivadatascience,open,No one assigned
287,molivadatascience,open,No one assigned
291,molivadatascience,open,No one assigned
